wall,loadavg_1m,cpu_busy_pct,rt_ratio_dl,rt_ratio_ul,gpu_temp_c,gpu_util_pct,gpu_mem_mib
1789616852.669,3.18,35.2,0.9307,0.9311,50,0,1163
1789616853.671,3.18,25.4,0.9303,0.9293,52,0,1163
1789616854.672,3.18,37.5,0.9244,0.9244,51,4,1163
1789616855.674,3.18,24.2,0.9337,0.9347,53,0,1163
1789616856.676,3.57,36.0,0.9302,0.9295,51,27,1163
1789616857.678,3.57,26.6,0.938,0.9388,52,0,1163
1789616858.68,3.57,34.5,0.9376,0.9366,51,37,1163
1789616859.682,3.57,30.1,0.9366,0.9376,52,0,1163
1789616860.684,3.57,30.5,0.9395,0.9395,52,38,1163
1789616861.687,3.44,32.7,0.9414,0.9414,52,0,1163
1789616862.688,3.44,28.2,0.9364,0.9364,52,20,1163
1789616863.691,3.44,35.2,0.9366,0.9356,52,0,1163
1789616864.693,3.44,26.1,0.9284,0.9284,52,10,1163
1789616865.695,3.44,36.4,0.9223,0.9223,53,0,1163
1789616866.697,4.21,25.4,0.942,0.942,54,0,1163
1789616867.699,4.21,35.9,0.9356,0.9356,53,14,1163
1789616868.7,4.21,24.7,0.9374,0.9384,54,0,1163
1789616869.702,4.21,35.6,0.9252,0.9242,53,19,1163
1789616870.705,4.21,26.7,0.9374,0.9384,54,0,1163
1789616871.707,4.19,32.7,0.9424,0.9424,53,34,1163
1789616872.709,4.19,29.7,0.927,0.926,54,0,1163
1789616873.711,4.19,31.1,0.9425,0.9425,53,37,1163
1789616874.713,4.19,32.9,0.9379,0.9379,54,0,1163
1789616875.715,4.19,26.8,0.9345,0.9355,54,30,1163
1789616876.718,4.18,36.2,0.9332,0.9322,54,0,1163
1789616877.72,4.18,24.8,0.9302,0.9306,54,8,1163
1789616878.729,4.18,37.2,0.9265,0.9271,54,0,1163
1789616879.731,4.18,25.2,0.9406,0.94,56,0,1163
1789616880.732,4.18,34.6,0.9265,0.9271,54,16,1163
1789616881.734,5.20,28.3,0.939,0.939,55,0,1163
1789616882.736,5.20,32.6,0.9364,0.9354,54,35,1163
1789616883.739,5.20,30.3,0.9386,0.9386,55,0,1163
1789616884.741,5.20,31.1,0.947,0.947,54,37,1163
1789616885.743,5.20,33.1,0.9402,0.9402,55,0,1163
1789616886.745,5.19,27.5,0.9413,0.9423,55,36,1163
1789616887.747,5.19,35.6,0.9346,0.9338,55,0,1163
1789616888.749,5.19,25.3,0.9375,0.9382,55,24,1163
1789616889.752,5.19,30.7,0.9361,0.9361,55,0,1163
1789616890.754,5.19,28.7,0.9356,0.9356,55,34,1163
1789616891.756,5.01,32.0,0.9468,0.9468,55,0,1163
1789616892.758,5.01,27.5,0.9393,0.9393,55,37,1163
1789616893.761,5.01,33.9,0.9359,0.9349,55,0,1163
1789616894.762,5.01,25.9,0.9454,0.9454,55,36,1163
1789616895.764,5.01,36.8,0.9382,0.9386,56,0,1163
1789616896.767,6.05,23.9,0.9349,0.9355,55,17,1163
1789616897.769,6.05,35.5,0.9391,0.9381,55,0,1163
1789616898.771,6.05,24.8,0.9416,0.9416,57,0,1163
1789616899.773,6.05,33.1,0.9264,0.9274,56,3,1163
1789616900.775,6.05,28.9,0.9383,0.9373,58,0,1163
1789616901.777,5.73,29.8,0.9459,0.9459,56,21,1163
1789616902.78,5.73,32.1,0.9336,0.9336,57,0,1163
1789616903.782,5.73,27.0,0.9369,0.9375,56,37,1163
1789616904.783,5.73,34.4,0.9379,0.9373,56,0,1163
1789616905.785,5.73,24.4,0.9426,0.9426,56,38,1163
1789616906.788,5.51,37.9,0.9462,0.9472,56,0,1163
1789616907.79,5.51,26.1,0.9403,0.9393,56,26,1163
1789616908.792,5.51,39.5,0.9272,0.9272,56,0,1163
1789616909.795,5.51,26.9,0.9366,0.9366,57,5,1163
1789616910.797,5.51,38.8,0.9242,0.9252,56,0,1163
1789616911.799,6.19,30.9,0.9249,0.9249,58,0,1163
1789616912.801,6.19,34.4,0.9322,0.9322,56,11,1163
1789616913.803,6.19,33.4,0.9302,0.9302,57,0,1163
1789616914.805,6.19,30.7,0.9383,0.9383,56,36,1163
1789616915.807,6.19,37.2,0.9299,0.9289,57,0,1163
1789616916.809,6.89,27.0,0.9358,0.9358,56,37,1163
1789616917.812,6.89,39.1,0.9299,0.9309,56,0,1163
1789616918.813,6.89,26.9,0.9354,0.9344,56,34,1163
