wall,cell,event,detail
1789622427.168,c000,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789622445.034,c000,done,attempt 1
1789622446.067,c001,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0.5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8001: root refcnt 2 limit 1000 loss 0.5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8002: root refcnt 2 limit 1000 loss 0.5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789622519.081,c001,done,attempt 1
1789622520.112,c002,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8003: root refcnt 2 limit 1000 delay 50ms""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8004: root refcnt 2 limit 1000 delay 50ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789622597.177,c002,done,attempt 1
1789622598.145,c003,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789622665.857,c003,done,attempt 1
1789622666.904,c004,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 2, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8005: root refcnt 2 limit 1000 loss 2%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 2.0, ""raw"": ""qdisc netem 8006: root refcnt 2 limit 1000 loss 2%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789622764.285,c004,done,attempt 1
