run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m,prompt_nonce
m6-sweep,da1c67ea15c9,0,1,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622427.21713,1789622429.097142,1777.76,1879.93,35.259,1777.714,24,25,225.114,1,,,0.87,50c3d24a
m6-sweep,62b17e0f3fdd,1,1,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622429.59736,1789622429.753993,63.315,156.534,24.057,63.268,23,24,236.004,1,,,0.87,16e15889
m6-sweep,b227b57ab6d7,2,1,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622430.254267,1789622430.418719,70.071,164.318,26.832,70.039,24,25,244.04,1,,,0.87,b6db95d9
m6-sweep,870de8a1df68,3,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622430.918999,1789622431.067701,60.912,148.569,20.145,60.874,24,25,262.388,1,,,0.96,80da2af8
m6-sweep,6b438d629936,4,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622431.567966,1789622431.718533,64.744,150.464,26.371,64.686,23,24,256.652,1,,,0.96,c14929ed
m6-sweep,4f34407faaa4,5,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622432.218728,1789622432.389989,75.604,171.163,36.16,75.542,24,25,240.689,1,,,0.96,2b459d7c
m6-sweep,25b00ee9ef42,6,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622432.890224,1789622433.061111,75.533,170.796,38.523,75.502,24,25,241.436,1,,,0.96,6e2fd8f3
m6-sweep,288cce17bd7a,7,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622433.561329,1789622433.70821,59.352,146.749,21.681,59.319,24,25,263.168,1,,,0.96,efa27ff5
m6-sweep,76cbbdf3c7c2,8,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622434.208435,1789622434.37383,68.496,165.303,30.752,68.451,24,25,237.586,1,,,0.96,aa5fb805
m6-sweep,d7cd60c39e9a,9,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622434.87405,1789622435.041588,66.388,167.383,22.905,66.351,24,25,227.733,1,,,0.96,4da30af5
m6-sweep,ffe457480892,10,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622435.541882,1789622435.703867,75.007,161.891,37.785,74.959,24,25,264.72,1,,,0.96,0e67e1f9
m6-sweep,c5c50f121984,11,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622436.204033,1789622436.362111,66.512,157.98,29.177,66.459,23,24,240.521,1,,,1.05,a25710df
m6-sweep,16341f8e2456,12,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622436.862326,1789622437.025746,68.03,163.337,30.319,67.998,24,25,241.325,1,,,1.05,881f7017
m6-sweep,ce416efb8f2d,13,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622437.525983,1789622437.678532,61.987,152.411,23.788,61.956,24,25,254.357,1,,,1.05,a14b0769
m6-sweep,9dc4d0ef1b20,14,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622438.178782,1789622438.34761,71.307,168.699,33.52,71.259,24,25,236.16,1,,,1.05,91aeb35c
m6-sweep,0df2bf216cc4,15,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622438.847859,1789622439.018151,68.484,170.209,29.51,68.454,25,26,235.931,1,,,1.05,b3b6783d
m6-sweep,c3d4c5284171,16,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622439.518376,1789622439.660144,55.002,141.683,18.631,54.971,24,25,265.341,1,,,1.05,b1a6883b
m6-sweep,19b7d9cc6bc7,17,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622440.160369,1789622440.326174,70.974,165.704,33.372,70.928,24,25,242.794,1,,,1.05,87ccecd3
m6-sweep,b73ff5ea75e9,18,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622440.826435,1789622440.987832,63.849,161.253,24.648,63.815,24,25,236.13,1,,,1.28,4de711ea
m6-sweep,2eedaf58c0ac,19,0,ran,qwen2.5:0.5b,short,0,0,c000.1,1789622441.488074,1789622441.658648,56.998,170.45,19.8,56.938,31,32,264.428,1,,,1.28,9d69f84b
