wall,loadavg_1m,cpu_busy_pct,rt_ratio_dl,rt_ratio_ul,gpu_temp_c,gpu_util_pct,gpu_mem_mib
1789622427.244,0.87,11.6,0.9469,0.9473,51,0,701
1789622428.246,0.87,13.3,0.9422,0.942,51,0,701
1789622429.247,0.87,24.2,0.9304,0.9306,52,1,794
1789622430.249,0.87,13.8,0.9404,0.9404,52,19,1270
1789622431.251,0.96,36.1,0.9443,0.9443,53,0,1272
1789622432.253,0.96,15.2,0.9415,0.9405,52,8,1272
1789622433.255,0.96,36.2,0.9495,0.9502,53,0,1272
1789622434.257,0.96,24.7,0.9446,0.9448,52,6,1272
1789622435.259,0.96,37.1,0.9379,0.9369,53,0,1272
1789622436.261,1.05,24.3,0.9471,0.9481,53,3,1272
1789622437.263,1.05,26.1,0.9421,0.9421,54,0,1272
1789622438.266,1.05,24.9,0.9375,0.9375,53,0,1272
1789622439.268,1.05,26.3,0.9354,0.9344,54,0,1272
1789622440.27,1.05,25.9,0.9433,0.9433,53,0,1272
1789622441.272,1.28,35.7,0.9433,0.9443,55,1,1272
1789622442.273,1.28,16.6,0.9404,0.9404,54,0,1272
1789622443.275,1.28,26.5,0.9295,0.9291,55,2,1272
1789622444.277,1.28,23.5,0.939,0.9394,54,0,1272
1789622445.28,1.28,10.6,0.9385,0.9385,54,0,1272
1789622446.282,1.50,11.4,0.9393,0.9393,54,0,1272
1789622447.283,1.50,12.7,0.9356,0.9346,54,0,701
1789622448.285,1.50,14.2,0.9342,0.9342,54,0,701
1789622449.289,1.50,14.9,0.9337,0.9347,54,22,2630
1789622450.291,1.50,43.4,0.9289,0.9289,55,19,2874
1789622451.294,1.86,23.9,0.9439,0.9429,60,90,2874
1789622452.296,1.86,33.2,0.9492,0.9492,62,90,2874
1789622453.297,1.86,40.7,0.9384,0.9394,61,45,2874
1789622454.299,1.86,29.1,0.9404,0.9394,57,0,2874
1789622455.302,1.86,24.6,0.9406,0.9416,59,85,2874
1789622456.303,1.95,23.2,0.9415,0.9415,62,90,2874
1789622457.305,1.95,32.9,0.9496,0.9486,63,77,2874
1789622458.307,1.95,40.8,0.9435,0.9445,62,1,2874
1789622459.309,1.95,34.1,0.9493,0.9483,58,0,2874
1789622460.31,1.95,31.3,0.9392,0.9394,59,73,2874
1789622461.312,1.88,23.2,0.9426,0.9423,63,90,2874
1789622462.314,1.88,42.3,0.9394,0.9394,64,4,2874
1789622463.316,1.88,29.7,0.9363,0.9373,59,0,2874
1789622464.318,1.88,32.9,0.9403,0.9393,64,56,2874
1789622465.319,1.88,34.7,0.9304,0.9314,65,90,2874
1789622466.321,3.33,35.4,0.9315,0.9305,59,8,2874
1789622467.323,3.33,24.3,0.938,0.939,64,29,2874
1789622468.325,3.33,33.8,0.9441,0.9441,65,91,2874
1789622469.327,3.33,33.6,0.9494,0.9494,66,89,2874
1789622470.329,3.33,30.2,0.9433,0.9423,60,14,2874
1789622471.331,3.70,29.9,0.943,0.944,61,0,2874
1789622472.333,3.70,22.8,0.9433,0.9423,65,73,2874
1789622473.335,3.70,33.2,0.9322,0.9332,66,90,2874
1789622474.336,3.70,33.9,0.9456,0.9456,65,91,2874
1789622475.338,3.70,29.4,0.9374,0.9364,61,0,2874
1789622476.34,4.85,30.6,0.9302,0.9302,62,0,2874
1789622477.342,4.85,31.4,0.9245,0.9245,66,48,2874
1789622478.344,4.85,22.5,0.9352,0.9362,67,90,2874
1789622479.346,4.85,25.5,0.9378,0.9378,66,91,2874
1789622480.348,4.85,36.2,0.9381,0.9381,61,0,2874
1789622481.35,5.50,32.8,0.9403,0.9393,66,81,2874
1789622482.352,5.50,39.3,0.9412,0.9422,67,90,2874
1789622483.354,5.50,31.9,0.9374,0.9374,62,0,2874
1789622484.355,5.50,22.7,0.9394,0.9384,66,91,2874
1789622485.357,5.50,23.4,0.9414,0.9424,67,91,2874
1789622486.359,5.38,27.5,0.9374,0.9364,62,56,2874
1789622487.361,5.38,24.6,0.9414,0.9424,62,0,2874
1789622488.362,5.38,24.6,0.9425,0.9425,63,0,2874
1789622489.364,5.38,35.8,0.9344,0.9344,63,0,2874
1789622490.366,5.38,26.1,0.9354,0.9344,63,0,2874
1789622491.368,5.43,27.0,0.9366,0.9368,64,3,2874
1789622492.371,5.43,32.2,0.9321,0.9322,67,91,2874
1789622493.372,5.43,35.4,0.9403,0.9399,65,79,2874
1789622494.374,5.43,28.3,0.9436,0.9446,62,3,2874
1789622495.376,5.43,32.4,0.9422,0.9422,63,0,2874
1789622496.378,5.32,23.0,0.9428,0.9428,67,90,2874
1789622497.381,5.32,26.1,0.942,0.942,68,91,2874
1789622498.382,5.32,35.9,0.9343,0.9333,63,0,2874
1789622499.384,5.32,23.3,0.9444,0.9444,67,84,2874
1789622500.386,5.32,33.0,0.94,0.941,69,91,2874
1789622501.388,6.41,37.7,0.9435,0.9435,68,91,2874
1789622502.39,6.41,28.3,0.9383,0.9373,63,0,2874
1789622503.392,6.41,29.8,0.9458,0.9458,64,0,2874
1789622504.395,6.41,33.3,0.9403,0.9403,68,91,2874
1789622505.397,6.41,40.3,0.9432,0.9432,67,54,2874
1789622506.399,6.22,32.6,0.9405,0.9415,64,0,2874
1789622507.401,6.22,33.0,0.9414,0.9404,68,91,2874
1789622508.405,6.22,33.8,0.9371,0.9373,68,91,2874
1789622509.407,6.22,40.1,0.9287,0.9285,64,0,2874
1789622510.409,6.22,30.8,0.9342,0.9352,66,48,2874
1789622511.411,5.88,23.4,0.9344,0.9334,69,91,2874
1789622512.413,5.88,33.1,0.9322,0.9322,69,90,2874
1789622513.415,5.88,38.5,0.9453,0.9453,67,91,2874
1789622514.417,5.88,38.3,0.9412,0.9412,64,27,2874
1789622515.419,5.88,33.0,0.9391,0.9401,65,0,2874
1789622516.421,6.45,31.7,0.9401,0.9391,66,0,2874
1789622517.423,6.45,34.0,0.9494,0.9504,70,25,2874
1789622518.425,6.45,27.8,0.9455,0.9455,69,90,2874
1789622519.427,6.45,10.5,0.9424,0.9414,64,0,2874
1789622520.428,6.45,13.0,0.9404,0.9404,63,0,2874
1789622521.431,6.33,42.2,0.9398,0.9408,62,91,2874
1789622522.432,6.33,23.9,0.9454,0.9454,65,0,2874
1789622523.434,6.33,27.8,0.9336,0.9326,69,91,2874
1789622524.437,6.33,38.4,0.9325,0.9325,63,64,2874
1789622525.439,6.33,17.3,0.9382,0.9392,68,42,2874
1789622526.441,6.23,39.8,0.9278,0.9272,67,90,2874
1789622527.444,6.23,26.3,0.9379,0.9385,65,0,2874
1789622528.446,6.23,27.3,0.9432,0.9432,69,39,2874
1789622529.448,6.23,32.0,0.9454,0.9454,69,91,2874
1789622530.45,6.23,27.5,0.9403,0.9403,64,0,2874
1789622531.452,6.13,24.8,0.943,0.942,65,0,2874
1789622532.455,6.13,27.1,0.9336,0.9346,69,76,2874
1789622533.457,6.13,29.1,0.9434,0.9434,64,91,2874
1789622534.459,6.13,26.5,0.933,0.932,65,0,2874
1789622535.461,6.13,28.5,0.9363,0.9373,69,91,2874
1789622536.463,6.04,41.7,0.9371,0.9371,64,66,2874
1789622537.465,6.04,25.0,0.9433,0.9423,67,0,2874
1789622538.467,6.04,28.6,0.9452,0.9462,70,91,2874
1789622539.468,6.04,36.3,0.9404,0.9402,64,66,2874
1789622540.47,6.04,30.3,0.9432,0.9435,65,0,2874
1789622541.472,5.79,17.3,0.9412,0.9412,69,67,2874
1789622542.474,5.79,33.8,0.9403,0.9403,66,91,2874
1789622543.476,5.79,23.7,0.9424,0.9424,65,0,2874
1789622544.478,5.79,25.2,0.9444,0.9434,66,0,2874
1789622545.479,5.79,27.1,0.9453,0.9463,69,91,2874
1789622546.481,6.61,30.3,0.9414,0.9408,65,25,2874
1789622547.483,6.61,26.4,0.9412,0.9408,66,0,2874
1789622548.486,6.61,27.5,0.9395,0.9395,70,91,2874
1789622549.488,6.61,27.6,0.9393,0.9403,65,24,2874
1789622550.49,6.61,30.4,0.9339,0.9329,65,0,2874
1789622551.494,6.40,30.1,0.928,0.929,71,41,2874
1789622552.496,6.40,19.8,0.9262,0.9262,70,85,2874
1789622553.499,6.40,30.6,0.927,0.927,65,0,2874
1789622554.501,6.40,24.7,0.9289,0.9289,70,0,2874
1789622555.504,6.40,32.0,0.9303,0.9293,73,13,2874
1789622556.506,6.21,24.7,0.9281,0.9281,65,89,2874
1789622557.509,6.21,35.3,0.9317,0.9327,66,0,2874
1789622558.512,6.21,29.9,0.9302,0.9302,74,0,2874
1789622559.515,6.21,30.8,0.9338,0.9328,71,87,2874
1789622560.517,6.21,26.7,0.9292,0.9292,65,88,2874
1789622561.52,6.11,33.0,0.9336,0.9338,66,0,2874
1789622562.523,6.11,29.0,0.9301,0.9308,73,0,2874
1789622563.526,6.11,17.5,0.9345,0.9345,72,37,2874
1789622564.528,6.11,37.4,0.9331,0.9321,74,89,2874
1789622565.53,6.11,23.8,0.9262,0.9272,68,0,2874
1789622566.532,6.26,30.5,0.9179,0.9179,64,0,2874
1789622567.534,6.26,30.3,0.9301,0.9301,65,0,2874
1789622568.536,6.26,21.3,0.9141,0.9138,74,87,2874
1789622569.54,6.26,38.4,0.8961,0.8964,70,8,2874
1789622570.542,6.26,27.2,0.9308,0.9308,65,0,2874
1789622571.544,6.24,26.5,0.9283,0.9283,74,88,2874
1789622572.546,6.24,31.9,0.9238,0.9228,64,0,2874
1789622573.548,6.24,28.8,0.9211,0.9221,65,0,2874
1789622574.55,6.24,30.6,0.9155,0.9145,69,83,2874
1789622575.552,6.24,44.0,0.9111,0.9111,73,90,2874
1789622576.554,7.18,26.7,0.9183,0.9193,64,0,2874
1789622577.556,7.18,30.9,0.9261,0.9261,66,30,2874
1789622578.559,7.18,44.2,0.9093,0.9093,73,89,2874
1789622579.562,7.18,26.0,0.9238,0.9238,64,0,2874
1789622580.564,7.18,31.2,0.9263,0.9263,66,17,2874
1789622581.565,6.77,19.8,0.9313,0.9303,74,88,2874
1789622582.568,6.77,40.5,0.9312,0.9312,73,86,2874
1789622583.57,6.77,29.7,0.9251,0.9251,64,0,2874
1789622584.573,6.77,30.8,0.9156,0.9162,67,58,2874
1789622585.575,6.77,23.5,0.9308,0.9302,73,89,2874
1789622586.577,7.03,26.5,0.9249,0.9249,72,41,2874
1789622587.579,7.03,26.2,0.927,0.928,64,0,2874
1789622588.582,7.03,31.4,0.93,0.929,69,88,2874
1789622589.584,7.03,37.1,0.9271,0.9271,73,87,2874
1789622590.586,7.03,19.5,0.9336,0.9346,65,0,2874
1789622591.588,6.79,40.2,0.9202,0.9192,74,89,2874
1789622592.591,6.79,31.7,0.9257,0.9277,64,0,2874
1789622593.593,6.79,32.1,0.934,0.932,67,56,2874
1789622594.595,6.79,37.8,0.9333,0.9343,73,89,2874
1789622595.597,6.79,34.1,0.9317,0.9317,65,0,2874
1789622596.599,6.64,13.9,0.9391,0.9383,66,0,2874
1789622597.601,6.64,11.4,0.9367,0.9375,64,0,2874
1789622598.603,6.64,21.3,0.9298,0.9298,62,0,2874
1789622599.606,6.64,37.3,0.931,0.931,73,88,2874
1789622600.609,6.64,43.3,0.9242,0.9238,72,89,2874
1789622601.611,7.55,29.2,0.9319,0.9323,65,0,2874
1789622602.614,7.55,27.5,0.9347,0.9341,64,0,2874
1789622603.616,7.55,24.0,0.9354,0.9356,73,23,2874
1789622604.618,7.55,23.2,0.9298,0.9302,73,88,2874
1789622605.621,7.55,43.9,0.9239,0.9239,73,89,2874
1789622606.623,8.47,26.5,0.9171,0.9161,65,0,2874
1789622607.626,8.47,31.4,0.9248,0.9258,64,0,2874
1789622608.628,8.47,35.0,0.9287,0.9287,65,0,2874
1789622609.63,8.47,37.2,0.9219,0.9209,74,25,2874
1789622610.632,8.47,23.7,0.9263,0.9263,73,86,2874
1789622611.635,8.43,41.1,0.9171,0.9171,73,90,2874
1789622612.636,8.43,33.3,0.9244,0.9254,70,87,2874
1789622613.638,8.43,26.3,0.9261,0.9261,65,0,2874
1789622614.641,8.43,23.3,0.9299,0.9293,67,0,2874
1789622615.643,8.43,37.6,0.9288,0.9294,74,42,2874
1789622616.645,9.12,40.3,0.9262,0.926,73,88,2874
1789622617.647,9.12,27.4,0.9273,0.9265,70,87,2874
1789622618.65,9.12,37.9,0.9331,0.9331,64,49,2874
1789622619.653,9.12,34.4,0.933,0.934,65,0,2874
1789622620.655,9.12,35.9,0.9331,0.9331,65,0,2874
1789622621.657,8.55,23.8,0.9292,0.9282,74,88,2874
1789622622.659,8.55,29.1,0.9231,0.9241,72,89,2874
1789622623.661,8.55,35.8,0.9302,0.9298,64,47,2874
1789622624.663,8.55,35.1,0.932,0.9314,66,0,2874
1789622625.665,8.55,24.9,0.932,0.932,74,30,2874
1789622626.667,8.18,24.2,0.9291,0.9301,73,89,2874
1789622627.67,8.18,34.2,0.9228,0.9228,73,88,2874
1789622628.673,8.18,31.2,0.9241,0.9241,65,0,2874
1789622629.675,8.18,36.8,0.9188,0.9188,66,0,2874
1789622630.677,8.18,37.3,0.9242,0.9232,74,25,2874
1789622631.679,8.01,23.4,0.9251,0.9251,74,88,2874
1789622632.682,8.01,39.6,0.9329,0.9339,73,88,2874
1789622633.684,8.01,24.0,0.9273,0.9273,70,87,2874
1789622634.686,8.01,43.8,0.915,0.915,69,87,2874
1789622635.688,8.01,32.1,0.9228,0.9228,65,0,2874
1789622636.69,7.53,37.2,0.9071,0.9071,69,0,2874
1789622637.693,7.53,23.0,0.9168,0.9168,74,89,2874
1789622638.695,7.53,26.0,0.9152,0.9152,73,89,2874
1789622639.697,7.53,38.1,0.9137,0.9137,65,64,2874
1789622640.699,7.53,32.5,0.9202,0.9202,67,0,2874
1789622641.701,8.20,23.9,0.9173,0.9173,74,87,2874
1789622642.704,8.20,45.5,0.9227,0.9227,72,89,2874
1789622643.706,8.20,30.7,0.9221,0.9211,65,0,2874
1789622644.708,8.20,26.0,0.9221,0.9231,66,0,2874
1789622645.711,8.20,37.4,0.9198,0.9188,74,41,2874
1789622646.713,7.95,38.1,0.9134,0.9134,72,89,2874
1789622647.715,7.95,35.1,0.9182,0.9192,71,90,2874
1789622648.717,7.95,28.8,0.9234,0.9234,66,20,2874
1789622649.72,7.95,23.5,0.9239,0.9239,68,0,2874
1789622650.723,7.95,37.9,0.9332,0.9322,74,0,2874
1789622651.725,8.59,40.7,0.9211,0.9221,73,89,2874
1789622652.727,8.59,29.4,0.9281,0.9281,65,88,2874
1789622653.73,8.59,31.5,0.9273,0.9263,65,59,2874
1789622654.732,8.59,36.8,0.9229,0.9229,74,0,2874
1789622655.735,8.59,30.2,0.9212,0.9212,73,89,2874
1789622656.737,9.27,34.7,0.927,0.928,65,88,2874
1789622657.739,9.27,37.4,0.9315,0.9315,74,0,2874
1789622658.743,9.27,38.0,0.923,0.923,74,3,2874
1789622659.745,9.27,30.6,0.9312,0.9312,73,88,2874
1789622660.747,9.27,37.4,0.9308,0.9298,65,80,2874
1789622661.75,10.13,33.0,0.9292,0.9302,66,30,2874
1789622662.752,10.13,37.3,0.9272,0.9262,75,0,2874
1789622663.754,10.13,37.8,0.9151,0.9151,74,88,2874
1789622664.756,10.13,30.6,0.9203,0.9213,65,88,2874
1789622665.758,10.13,11.3,0.9374,0.9374,66,0,2874
1789622666.76,9.56,10.8,0.9385,0.9375,64,0,2874
1789622667.762,9.56,32.4,0.926,0.926,63,0,2880
1789622668.764,9.56,36.9,0.927,0.927,73,58,2880
1789622669.767,9.56,39.8,0.9206,0.9216,73,88,2880
1789622670.771,9.56,24.9,0.9256,0.9256,73,36,2880
1789622671.774,9.19,40.3,0.9213,0.9213,72,88,2880
1789622672.777,9.19,23.9,0.9262,0.9262,74,0,2880
1789622673.779,9.19,41.2,0.92,0.919,74,87,2880
1789622674.781,9.19,35.5,0.9319,0.9323,68,0,2880
1789622675.783,9.19,24.9,0.9303,0.9299,75,87,2880
1789622676.785,8.85,35.8,0.9239,0.9246,65,80,2880
1789622677.788,8.85,25.1,0.9273,0.9271,75,88,2880
1789622678.79,8.85,38.0,0.9242,0.9246,65,91,2880
1789622679.793,8.85,23.7,0.9252,0.9242,75,89,2880
1789622680.795,8.85,41.0,0.9156,0.9166,65,88,2880
1789622681.797,8.63,23.4,0.9261,0.9261,74,89,2880
1789622682.801,8.63,37.2,0.9248,0.9238,65,87,2880
1789622683.804,8.63,24.3,0.9203,0.9213,75,0,2880
1789622684.806,8.63,29.1,0.9254,0.9254,74,88,2880
1789622685.808,8.63,35.6,0.9292,0.9292,66,89,2880
1789622686.81,8.25,25.0,0.9311,0.9311,74,0,2880
1789622687.812,8.25,40.1,0.914,0.915,75,89,2880
1789622688.815,8.25,37.3,0.9246,0.9226,74,0,2880
1789622689.817,8.25,40.4,0.9185,0.9185,75,86,2880
1789622690.82,8.25,32.7,0.92,0.921,66,0,2880
1789622691.822,8.07,39.9,0.9228,0.9228,75,88,2880
1789622692.824,8.07,37.1,0.918,0.917,66,0,2880
1789622693.826,8.07,40.7,0.916,0.917,75,86,2880
1789622694.828,8.07,37.5,0.9213,0.9203,66,0,2880
1789622695.83,8.07,26.9,0.9293,0.9293,75,86,2880
1789622696.834,8.79,38.0,0.9269,0.9279,74,88,2880
1789622697.836,8.79,24.2,0.927,0.927,68,13,2880
1789622698.838,8.79,40.5,0.9251,0.9251,75,88,2880
1789622699.841,8.79,24.1,0.9287,0.9287,66,0,2880
1789622700.843,8.79,39.1,0.9182,0.9182,76,86,2880
1789622701.845,8.41,13.4,0.9267,0.9257,67,0,2880
1789622702.849,8.41,20.2,0.9276,0.9286,65,0,2880
1789622703.853,8.41,39.8,0.9165,0.9165,74,87,2880
1789622704.855,8.41,38.1,0.9258,0.9258,66,0,2880
1789622705.857,8.41,44.7,0.9148,0.9138,75,86,2880
1789622706.86,7.89,30.0,0.9238,0.9248,65,4,2880
1789622707.862,7.89,31.5,0.9143,0.9133,75,88,2880
1789622708.866,7.89,32.6,0.9255,0.9265,73,75,2880
1789622709.868,7.89,24.2,0.9237,0.9237,67,0,2880
1789622710.871,7.89,40.1,0.9197,0.9187,75,89,2880
1789622711.873,7.66,24.6,0.9258,0.9258,67,0,2880
1789622712.876,7.66,40.1,0.9162,0.9172,75,88,2880
1789622713.879,7.66,21.7,0.927,0.927,67,0,2880
1789622714.88,7.66,39.2,0.9211,0.9204,75,88,2880
1789622715.883,7.66,25.1,0.9283,0.9281,66,0,2880
1789622716.885,8.41,25.7,0.9309,0.9309,75,86,2880
1789622717.887,8.41,39.0,0.9308,0.9318,74,88,2880
1789622718.889,8.41,38.5,0.9311,0.9311,67,0,2880
1789622719.891,8.41,36.9,0.9232,0.9232,75,86,2880
1789622720.894,8.41,27.6,0.9339,0.9339,66,0,2880
1789622721.896,8.30,24.9,0.9332,0.9332,74,88,2880
1789622722.898,8.30,39.2,0.9258,0.9251,74,89,2880
1789622723.901,8.30,38.8,0.9179,0.9187,67,0,2880
1789622724.903,8.30,40.1,0.9267,0.9257,75,86,2880
1789622725.906,8.30,23.8,0.9315,0.9325,67,0,2880
1789622726.908,8.99,35.8,0.9219,0.9217,75,86,2880
1789622727.911,8.99,24.3,0.9284,0.9287,66,0,2880
1789622728.913,8.99,41.2,0.9341,0.9332,75,77,2880
1789622729.915,8.99,10.8,0.9352,0.9352,65,0,2880
1789622730.918,8.99,36.7,0.9313,0.9323,73,88,2880
1789622731.92,8.67,24.1,0.9329,0.9329,66,0,2880
1789622732.922,8.67,43.9,0.9212,0.9202,75,87,2880
1789622733.925,8.67,34.0,0.9135,0.9145,74,88,2880
1789622734.927,8.67,26.4,0.9173,0.9173,74,86,2880
1789622735.931,8.67,36.2,0.9117,0.9117,75,88,2880
1789622736.933,9.10,33.3,0.9148,0.914,67,0,2880
1789622737.935,9.10,32.9,0.9175,0.9182,76,87,2880
1789622738.937,9.10,31.8,0.9231,0.9221,77,89,2880
1789622739.939,9.10,36.4,0.9132,0.9132,73,13,2880
1789622740.942,9.10,40.4,0.9169,0.9173,75,88,2880
1789622741.944,8.77,23.2,0.9204,0.92,72,10,2880
1789622742.946,8.77,39.3,0.9153,0.9153,75,89,2880
1789622743.949,8.77,27.3,0.9263,0.9273,66,45,2880
1789622744.951,8.77,23.9,0.9271,0.9261,75,32,2880
1789622745.953,8.77,40.3,0.9241,0.9241,74,89,2880
1789622746.955,8.31,24.8,0.9251,0.9261,75,48,2880
1789622747.958,8.31,34.3,0.926,0.926,73,88,2880
