"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","5,300 K"
"Secure System","332","Services","0","68,456 K"
"Registry","376","Services","0","40,784 K"
"smss.exe","1136","Services","0","1,312 K"
"csrss.exe","1640","Services","0","7,292 K"
"wininit.exe","1772","Services","0","9,604 K"
"services.exe","1888","Services","0","19,428 K"
"LsaIso.exe","1940","Services","0","3,792 K"
"lsass.exe","1952","Services","0","23,972 K"
"svchost.exe","1236","Services","0","33,316 K"
"fontdrvhost.exe","1272","Services","0","4,408 K"
"WUDFHost.exe","1120","Services","0","8,380 K"
"svchost.exe","2108","Services","0","22,876 K"
"svchost.exe","2160","Services","0","12,524 K"
"WUDFHost.exe","2188","Services","0","17,692 K"
"svchost.exe","2340","Services","0","6,900 K"
"svchost.exe","2396","Services","0","15,656 K"
"svchost.exe","2404","Services","0","17,236 K"
"svchost.exe","2412","Services","0","10,196 K"
"svchost.exe","2596","Services","0","17,680 K"
"svchost.exe","2624","Services","0","13,664 K"
"svchost.exe","2632","Services","0","13,556 K"
"svchost.exe","2640","Services","0","15,152 K"
"svchost.exe","2792","Services","0","12,140 K"
"svchost.exe","2800","Services","0","12,420 K"
"svchost.exe","2836","Services","0","7,812 K"
"svchost.exe","2844","Services","0","7,620 K"
"svchost.exe","2960","Services","0","13,972 K"
"svchost.exe","3092","Services","0","22,260 K"
"svchost.exe","3360","Services","0","27,848 K"
"svchost.exe","3368","Services","0","9,584 K"
"svchost.exe","3500","Services","0","11,440 K"
"svchost.exe","3704","Services","0","16,204 K"
"NVDisplay.Container.exe","3816","Services","0","26,524 K"
"svchost.exe","3852","Services","0","26,728 K"
"svchost.exe","3884","Services","0","17,760 K"
"svchost.exe","3936","Services","0","9,732 K"
"svchost.exe","3944","Services","0","12,048 K"
"svchost.exe","3952","Services","0","7,456 K"
"Memory Compression","4040","Services","0","271,360 K"
"svchost.exe","4088","Services","0","8,764 K"
"svchost.exe","4108","Services","0","9,984 K"
"svchost.exe","4116","Services","0","19,164 K"
"svchost.exe","4124","Services","0","7,284 K"
